sat_math,sat_verbal
540,430
650,560
570,640
510,555
460,460
610,446
650,610
580,520
450,530
590,550
620,650
640,630
500,420
480,480
500,450
530,510
730,670
660,650
530,290
520,500
390,280
460,400
590,510
570,470
560,560
680,550
660,540
730,630
280,350
570,490
600,540
630,630
710,700
540,465
470,530
350,360
450,480
620,610
530,640
430,340
580,570
660,630
650,670
640,470
590,470
560,570
520,550
610,570
450,490
510,410
660,556
540,500
610,596
590,560
620,530
590,600
510,530
620,580
500,540
650,420
780,800
580,680
770,720
530,580
540,660
430,430
620,550
590,520
590,520
700,630
600,540
580,660
580,570
610,410
790,690
620,460
630,470
680,470
670,700
660,690
550,490
700,670
630,730
510,510
470,520
520,500
760,470
530,590
690,626
550,610
770,700
470,210
520,545
460,430
480,350
660,600
500,440
590,540
610,570
450,580
660,580
510,560
470,464
570,530
530,425
640,540
490,424
640,640
480,470
450,470
610,480
650,660
550,490
640,590
660,590
510,450
660,680
440,530
650,520
600,610
720,640
490,420
610,600
730,440
560,610
700,650
610,690
620,626
580,490
550,560
450,460
540,460
620,610
440,490
360,410
580,510
510,600
450,400
580,465
650,590
670,490
690,560
520,365
640,690
700,470
670,670
550,620
640,550
590,520
630,400
440,400
510,640
650,610
530,550
440,490
470,500
710,550
600,520
490,450
600,520
590,500
660,580
610,510
710,500
690,680
570,500
520,500
660,630
690,690
690,400
510,520
570,520
500,420
640,620
610,620
690,520
650,540
580,620
660,480
530,600
520,560
520,550
610,540
630,600
560,590
520,380
690,570
540,350
670,600
600,580
600,610
380,460
670,540
620,620
570,600
650,610
510,555
630,630
590,630
520,430
470,570
520,480
560,570
540,530
592,515
530,750
750,550
470,410
530,500
560,520
720,510
470,530
520,430
460,470
710,560
670,660
610,500
650,650
710,570
600,600
500,525
580,590
500,500
620,480
410,340
560,600
550,570
660,556
590,490
580,560
520,620
580,560
600,580
630,540
740,730
620,530
630,550
660,630
710,680
690,640
460,474
610,510
560,620
540,520
290,330
430,350
600,520
570,370
650,680
690,500
580,570
460,510
580,570
660,590
580,520
650,560
460,560
660,550
540,440
630,520
490,640
410,370
630,550
600,510
710,660
610,560
650,590
600,550
710,720
590,600
530,660
640,390
610,560
510,475
710,600
510,550
600,480
510,540
580,510
520,570
630,466
640,726
420,440
580,420
490,410
790,670
630,640
420,470
490,400
680,630
630,500
430,400
670,700
660,600
660,470
580,490
650,650
600,560
570,600
360,350
710,720
500,660
470,490
620,530
540,540
580,550
690,640
490,600
550,580
310,313
610,550
740,730
470,440
780,710
690,650
630,550
650,560
740,610
680,640
530,550
580,460
550,640
420,450
660,540
610,500
370,450
610,520
650,710
570,455
570,650
470,540
550,620
720,530
550,470
630,630
470,380
610,590
560,630
640,560
410,430
440,550
780,650
670,640
410,450
650,650
460,420
420,470
640,600
490,570
590,470
610,570
350,530
550,520
650,520
